,title,author,avg_rating,my_rating,start_read_date,end_read_date,author_gender,genre
1,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)","Adams, Douglas",4.22,4,4/22/2021,6/9/2021,Male,fiction
2,Interior Chinatown,"Yu, Charles",4.05,4,4/21/2021,5/22/2021,Male,fiction
3,Crying in H Mart,"Zauner, Michelle",4.47,5,4/20/2021,6/28/2021,Female,autobiography
4,Range: Why Generalists Triumph in a Specialized World,"Epstein, David",4.15,3,4/20/2021,5/19/2021,Male,self-help
5,Show Your Work!: 10 Ways to Share Your Creativity and Get Discovered,"Kleon, Austin",4.1,4,4/15/2021,5/10/2021,Male,self-help
6,Transcendent Kingdom,"Gyasi, Yaa",4.16,5,4/13/2021,4/20/2021,Female,fiction
7,"The Rosie Project (Don Tillman, #1)","Simsion, Graeme",4.01,4,4/8/2021,4/27/2021,Male,fiction
8,How to Win Friends and Influence People,"Carnegie, Dale",4.21,5,4/7/2021,6/14/2021,Male,self-help
9,The 5 Love Languages: The Secret to Love that Lasts,"Chapman, Gary",4.25,3,3/29/2021,1/1/2021,Male,self-help
10,Born a Crime: Stories From a South African Childhood,"Noah, Trevor",4.46,5,3/25/2021,3/30/2021,Male,autobiography
11,Eat a Peach,"Chang, David",3.94,3,3/25/2021,4/8/2021,Male,autobiography
12,Principles: Life and Work,"Dalio, Ray",4.09,5,3/25/2021,3/25/2021,Male,autobiography
13,Convenience Store Woman,"Murata, Sayaka",3.72,5,3/6/2021,3/1/2021,Female,fiction
14,Everything You’ll Ever Need: You Can Find Within Yourself,"Freeman, Charlotte",4.49,4,3/2/2021,3/10/2021,Male,self-help
15,Dial A for Aunties,"Sutanto, Jesse Q",3.92,4,1/26/2021,6/13/2021,Female,fiction
16,Factfulness: Ten Reasons We're Wrong About the World – and Why Things Are Better Than You Think,"Rosling, Hans",4.34,4,1/26/2021,3/21/2021,Male,academic-vibes
17,Grit: The Power of Passion and Perseverance,"Duckworth, Angela",4.07,4,1/26/2021,5/3/2021,Female,academic-vibes
18,Just Kids,"Smith, Patti",4.15,5,1/26/2021,2/25/2021,Female,fiction
19,The 4-Hour Workweek,"Ferriss, Timothy",3.91,2,1/26/2021,1/1/2021,Male,business
20,Chemistry,"Wang, Weike",3.72,5,1/26/2021,6/13/2021,Female,fiction
21,Little Fires Everywhere,"Ng, Celeste",4.09,5,1/26/2021,4/13/2021,Female,fiction
22,Radical Candor: Be a Kickass Boss Without Losing Your Humanity,"Scott, Kim Malone",4.1,3,1/26/2021,6/6/2021,Female,business
23,The Last Lecture,"Pausch, Randy",4.24,4,1/25/2021,2/7/2021,Male,self-help
24,Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,"Clear, James",4.36,4,1/25/2021,1/28/2021,Male,autobiography
25,You Do You: Discovering Live Through Experiments and Self-Awareness,"Ruby, Fellexandro",4.51,5,1/25/2021,1/25/2021,Male,self-help
26,"The Memoirs of Sherlock Holmes (Sherlock Holmes, #4)","Doyle, Arthur Conan",4.31,4,1/25/2021,1/1/2021,Male,fiction
27,What Tech Calls Thinking: An Inquiry Into the Intellectual Bedrock of Silicon Valley,"Daub, Adrian",3.65,3,1/25/2021,1/1/2021,Male,academic-vibes
28,Pride and Prejudice,"Austen, Jane",4.27,4,1/25/2021,1/1/2021,Female,fiction
